"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1770719742460125257","Thu Mar 21 07:50:59 +0000 2024","0","Berbagai kendala diatasi seperti keterlibatan nakes dari pasukan TNI yang bertugas di Bumi Cenderawasih dengan turut serta memberikan pelayanan kesehatan bagi masyarakat yang membutuhkan. #KesehatanPapua #PapuaSejahtera #PelayananKesehatan #PapuaNKRI https://t.co/QnlimHRWik","1770719742460125257","https://pbs.twimg.com/media/GJLcM--bgAAOf7K.jpg","","in","Kota Jambi, Jambi","0","0","0","https://x.com/deniangria/status/1770719742460125257","1568618773325967361","deniangria"
"1744196128730755256","Mon Jan 08 03:15:37 +0000 2024","0","Pemeriksaan Genomik #pemeriksaangenomik #genomic #pelayanankesehatan #pemeriksaankesehatan https://t.co/HaqmPOmbhK","1744196128730755256","https://pbs.twimg.com/media/GDShH8DaIAA5BYN.jpg","","in","Jl. Kebalen Wetan 2-8 Malang","0","1","0","https://x.com/rspantinirmala/status/1744196128730755256","888999337","rspantinirmala"
"1781971809824551353","Sun Apr 21 09:02:41 +0000 2024","1","Prajurit TNI berikan layanan terbaik untuk masyarakat Papua! #Papua #PelayananKesehatan #PapuaNKRI #KesehatanPapua #PapuaMaju https://t.co/RZUwhzkn3O","1781971809824551353","https://pbs.twimg.com/media/GLrV2-LawAAAflh.jpg","","in","Indonesia Jawa Barat","0","0","0","https://x.com/Omara99Daniel/status/1781971809824551353","1580097278475280384","Omara99Daniel"
"1781971611870220659","Sun Apr 21 09:01:54 +0000 2024","1","Momen kedekatan masyarakat Papua dengan TNI melalui pelayanan kesehatan! #Papua #PelayananKesehatan #PapuaNKRI #KesehatanPapua #PapuaMaju https://t.co/bexCCt97ZN","1781971611870220659","https://pbs.twimg.com/media/GLrVq9-boAAyvve.jpg","","in","Indonesia Jawa Barat","0","0","0","https://x.com/Omara99Daniel/status/1781971611870220659","1580097278475280384","Omara99Daniel"
"1705542128821256192","Sat Sep 23 11:18:25 +0000 2023","0","Jakarta - Rumah Sakit Jantung dan Pembuluh Darah Harapan Kita (RSJPDHK) menandatangani Perjanjian Kerja Sama (PKS) dengan mitra layanan mengenai pelayanan kesehatan di Gedung Ventrikel Jumat (22/9). #rsjpdharapankita #rumahsakit #pelayanankesehatan #serviceexcellence https://t.co/77aluf8JEW","1705542128821256192","https://pbs.twimg.com/media/F6tNfPqaQAAA77e.jpg","","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/pjnharapankita/status/1705542128821256192","1608282718621630464","pjnharapankita"
"1781999520173133903","Sun Apr 21 10:52:48 +0000 2024","0","Kehadiran Aparat Keamanan Membantu Pelayanan Kesehatan di Papua #Papua #PelayananKesehatan #PapuaNKRI #KesehatanPapua #PapuaMaju https://t.co/Wb3ujkHtc5","1781999520173133903","https://pbs.twimg.com/media/GLrvHsWWoAA-uh8.jpg","","in","Bandar Lampung, Lampung","0","0","0","https://x.com/pengusahacanti1/status/1781999520173133903","1356999345866895360","pengusahacanti1"
"1781971727872045182","Sun Apr 21 09:02:22 +0000 2024","1","Aparat keamanan hadir memberikan layanan kesehatan di pedalaman Papua! #Papua #PelayananKesehatan #PapuaNKRI #KesehatanPapua #PapuaMaju https://t.co/9gCuaPA9c0","1781971727872045182","https://pbs.twimg.com/media/GLrVypebkAAAVzr.jpg","","in","Indonesia Jawa Barat","0","0","0","https://x.com/Omara99Daniel/status/1781971727872045182","1580097278475280384","Omara99Daniel"
"1650440291609096193","Mon Apr 24 10:03:23 +0000 2023","0","Jasa Raharja Sultra kembali laksanakan pelayanan Kesehatan Gratis melalui Program Mobil Unit Keselamatan Lalu Lintas (MUKL) di Pos PAM Mall Mandonga Senin (24/04). . . #Jasaraharja #Jasaraharjasulawesitenggara #Pelayanankesehatan #BUMNUntukIndonesia #TerpercayaMelayaniBangsa https://t.co/IW1GfJgGLr","1650440291609096193","https://pbs.twimg.com/media/FueKrmiagAIOMGt.jpg","","in","","0","0","0","https://x.com/Jr_Sultra/status/1650440291609096193","1465877187081428996","Jr_Sultra"
"1666780020008955904","Thu Jun 08 12:11:38 +0000 2023","0","Jamaah haji Indonesia tahun ini cukup didominasi oleh jemaah haji lansia dan jemaah haji risiko tinggi (risti). https://t.co/Heu2Yds1px #jamaahhaji #hajiindonesia #jemaahhajiindonesia #haji2023 #musimhaji2023 #lansia #Indonesia #arafah #pelayanankesehatan https://t.co/3G07aLcCSH","1666780020008955904","https://pbs.twimg.com/media/FyGXeBmagAExwZp.jpg","","in","indonesia","0","0","0","https://x.com/suaramerdeka/status/1666780020008955904","219527452","suaramerdeka"
"1770720530246635917","Thu Mar 21 07:54:07 +0000 2024","1","Pemerintah terus mengupayakan agar masyarakat Papua mendapatkan pelayanan kesehatan secara optimal. #KesehatanPapua #PapuaSejahtera #PelayananKesehatan #PapuaNKRI https://t.co/pK934kkn9h","1770720530246635917","https://pbs.twimg.com/media/GJLc7kLbEAAT0Ta.jpg","","in","Kalimantan Barat, Indonesia","0","0","0","https://x.com/CristiHilma/status/1770720530246635917","1651527630","CristiHilma"
