"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1029072983195828226","Mon Aug 13 18:31:33 +0000 2018","0","Don't worry b healthy .... #sehatindonesia #sehatmurah #sehatwanita #sehattentrem #sehatbersamasana #sehatitupenting #sehat #sehatitumudah #sehat2 #sehatsehatsehat #sehatitupilihan https://t.co/U4Hv8zYcqa","1029072983195828226","","","en","Bali - Indonesia","0","0","0","https://x.com/ewaluyo/status/1029072983195828226","68304225","ewaluyo"
"1334760040729698306","Fri Dec 04 07:22:47 +0000 2020","1","Pati Jepara Kudus Rembang purwodadi siap melayani. #sehatindonesia #sejahterakanindonesia #gulasehat #rendahkalori","1334760040729698306","","","in","Jawa Tengah, Indonesia","0","0","0","https://x.com/Radensu808/status/1334760040729698306","1110590214261501952","Radensu808"
"1244359191483101185","Sun Mar 29 20:22:04 +0000 2020","4","Dukungan yang juga harus diberikan kepada tenaga medis Indonesia. Mari beri semangat kepada tetangga sekitar yang berprofesi sebagai tenaga medis #Covid_19 #indonesia #tenagamedis #DiRumahAjaYa #SaluteCOVID19Fighters #SaluteToAllFrontliners #salutedoctors #sehatindonesia","1244359191483101185","","","in","Jakarta Capital Region","0","1","0","https://x.com/naramasista/status/1244359191483101185","1034700987988996096","naramasista"
"1157474041503969285","Sat Aug 03 02:11:30 +0000 2019","0","Salam Sehat #SehatIndonesia @KemenkesRI","1157474041503969285","","","in","","0","0","0","https://x.com/vitaedina_NS/status/1157474041503969285","3307594184","vitaedina_NS"
"1143372815728599040","Tue Jun 25 04:18:16 +0000 2019","0","Teguran untuk jaga alam dan mengutamakan kesehatan ya teman teman ° ° ° ° ° #bayisehatindonesia #anaksehatindonesia #sehatindonesia #indonesiabersih #indonesiasehat #akucintaindonesia #airjernih #jauhdaripenyakit https://t.co/YXA6A68Zat","1143372815728599040","","","in","Yogyakarta","0","0","0","https://x.com/projectb_indo/status/1143372815728599040","607597045","projectb_indo"
"1195530135602114561","Sat Nov 16 02:32:50 +0000 2019","1","Jangan lupa minum segelas air putih y lur hidup sehat terus berkarya apalagi yang ada logo YES RADIONYA #yesradiocilacap #cilacap #cilacaphitz #cilacapsehat #sehat #sehatindonesia #indonesia @ Yes-Radio Cilacap https://t.co/bP0WPlz5s7","1195530135602114561","","","in","Jl. MT. Haryono 13 B Cilacap","0","0","0","https://x.com/yesradiocilacap/status/1195530135602114561","249090381","yesradiocilacap"
"1336304721385070593","Tue Dec 08 13:40:47 +0000 2020","0","Persiapkan diri untuk datang ke TPS besok! Terapkan protokol kesehatan dengan ketat untuk ciptakan Pemilihan yang sehat! Seperti pesan yang disampikan Menteri Kesehatan RI Terawan Agus Putranto... https://t.co/q8npxHCfly #SehatIndonesia #PilkadaSehat #IndonesiaLawanCovid-19","1336304721385070593","","","in","Jl Raden Wijaya No 55 Jombang","0","0","0","https://x.com/bawaslujombang/status/1336304721385070593","908030324826705920","bawaslujombang"
"1010885737003139072","Sun Jun 24 14:01:55 +0000 2018","1","#Repost @KemenkesRI with get_repost ・・・ Hari Bidan Nasional 24-06-2018 Terima kasih atas cinta dan jasamu untuk mewujudkan #indonesiasehat . . #salamsehat #sehatindonesia https://t.co/YTbflhY4IP","1010885737003139072","","","in","Jakarta Capital Region","0","0","1","https://x.com/gemacermat/status/1010885737003139072","3305651083","gemacermat"
"1212340430940987394","Wed Jan 01 11:50:57 +0000 2020","2","Jangan panik Ayah dan Bunda. Utamakan keselamatan diri kita dan keluarga terutama anak-anak yang masih kecil dan balita. #BanjirJakarta #banjir2020 #Salamsehat #SehatIndonesia","1212340430940987394","","","in","-6.184267,106.798857","0","0","0","https://x.com/rsabhk/status/1212340430940987394","449837096","rsabhk"
"1030317828908281856","Fri Aug 17 04:58:07 +0000 2018","0","Semangat Kemerdekaan ke 73 Indonesiaku Tercinta 🇮🇩🇮🇩🇮🇩 . #harikemerdekaanindonesia #merdeka#17agustus2018 #sehatindonesia #indonesiaku #merahputih #zumbaindonesia @ Jakarta Indonesia https://t.co/SZVgtcoId8","1030317828908281856","","","in","Citra (Manager) 0816-706126","0","0","0","https://x.com/lizanatalia/status/1030317828908281856","22727469","lizanatalia"
"992556217817018368","Sat May 05 00:06:57 +0000 2018","0","#senamaerobik #senampagiindonesia #olahragarakyat #sehatindonesia @kabarindomediautama @kabarindomart1 @globalreviewmedia_globalfuture @tabloid_dimensi https://t.co/7GMzDYwHJZ","992556217817018368","","","und","Indonesia","0","0","0","https://x.com/Samputraleader/status/992556217817018368","231399610","Samputraleader"
"1059248960311906309","Mon Nov 05 01:00:06 +0000 2018","2","Tema HKN 2018 Aku Cinta Sehat Sub Tema HKN 2018 Ayo Hidup Sehat Mulai Dari Kita #HKN12November2018 #SalamSehat #SehatIndonesia penuh kegembiraan","1059248960311906309","","","in","Indonesia","0","0","2","https://x.com/persakmi_id/status/1059248960311906309","723402260","persakmi_id"
"1010937851662331904","Sun Jun 24 17:29:00 +0000 2018","1","Hari Bidan Nasional 24-06-2018 Terima kasih atas cinta dan jasamu untuk mewujudkan #indonesiasehat. . #biofarma #biofarmaID #salamsehat #sehatindonesia #haribidannasional https://t.co/CC04MSA3aE","1010937851662331904","","","in","Bandung, Indonesia","0","0","0","https://x.com/biofarmaID/status/1010937851662331904","1930235365","biofarmaID"
"1012594916608880640","Fri Jun 29 07:13:35 +0000 2018","0","#Repost @KemenkesRI with get_repost ・・・ Selamat Hari Keluaraga Nasional Healthies! selalu jaga kesehatan keluarga kita untuk mewujdukan #indonesiasehat . . #salamsehat #SehatIndonesia https://t.co/ATB6ZMxoZW","1012594916608880640","","","in","Jakarta Capital Region","0","0","1","https://x.com/gemacermat/status/1012594916608880640","3305651083","gemacermat"
"1022364158497415168","Thu Jul 26 06:13:04 +0000 2018","1","Sering ngerasain gatal - gatal yang luar biasa ? hati hati guys bisa jadi kulitmu ada bidurannya loh .. Biar engga tambah parah ikuti langkah langkah ini yah ! --&gt; https://t.co/pk98e7awZb #qncjellygamat #SehatBersamaDaihatsu #NgobrolTempo #SehatIndonesia","1022364158497415168","","","in","Kota Tasikmalaya, Jawa Barat","0","0","0","https://x.com/QncPusat/status/1022364158497415168","969777522039603200","QncPusat"
"1226138087530618883","Sat Feb 08 13:37:55 +0000 2020","1","Salam sehat #sobatkriskes Alat dan obat desinfeksi program observasi pemulangan WNI dari Wuhan di Natuna. . . . #sehatindonesia #salamsehatdarinatuna #darinatunaselamatkanindonesia #coronavirus https://t.co/cSgndkvpRS","1226138087530618883","","","in","Kuningan, DKI Jakarta","0","0","0","https://x.com/infoppkk/status/1226138087530618883","2467109641","infoppkk"
"1226137240201461760","Sat Feb 08 13:34:33 +0000 2020","0","Salam sehat #sobatkriskes Tim dokter ahli program observasi pemulangan WNI dari Wuhan di Natuna. . . . #sehatindonesia #salamsehatdarinatuna #darinatunaselamatkanindonesia #coronavirus #indonesiabebascorona https://t.co/xh1x1yp3GB","1226137240201461760","","","in","Kuningan, DKI Jakarta","0","0","0","https://x.com/infoppkk/status/1226137240201461760","2467109641","infoppkk"
"1350738163132723202","Sun Jan 17 09:34:08 +0000 2021","1","Siap 🇲🇨 @pusluhtanri @bppsdmp @kementerianpertanian #siapvaksincovid19 #sehatindonesia #pusluhtanri #bppsdmp #kementan_ri @ Kementerian Pertanian Republik Indonesia https://t.co/hGYcK3IJqk","1350738163132723202","","","in","","0","0","0","https://x.com/merrynancylia/status/1350738163132723202","1312314866","merrynancylia"
